word,topic,level,article,part_of_speech,meaning
ich,self_introduction_family,A1,,pronoun,I
du,self_introduction_family,A1,,pronoun,you informal
Name,self_introduction_family,A1,der,noun,name
Familie,self_introduction_family,A1,die,noun,family
Mutter,self_introduction_family,A1,die,noun,mother
Vater,self_introduction_family,A1,der,noun,father
Kind,self_introduction_family,A1,das,noun,child
Bruder,self_introduction_family,A1,der,noun,brother
Schwester,self_introduction_family,A1,die,noun,sister
Freund,self_introduction_family,A1,der,noun,friend
Essen,food_drink,A1,das,noun,food
Trinken,food_drink,A1,das,noun,drinking
Brot,food_drink,A1,das,noun,bread
Wasser,food_drink,A1,das,noun,water
Kaffee,food_drink,A1,der,noun,coffee
Tee,food_drink,A1,der,noun,tea
Milch,food_drink,A1,die,noun,milk
Apfel,food_drink,A1,der,noun,apple
Suppe,food_drink,A1,die,noun,soup
Käse,food_drink,A1,der,noun,cheese
Morgen,daily_routine,A1,der,noun,morning
Abend,daily_routine,A1,der,noun,evening
Tag,daily_routine,A1,der,noun,day
Nacht,daily_routine,A1,die,noun,night
aufstehen,daily_routine,A1,,verb,to get up
arbeiten,daily_routine,A1,,verb,to work
lernen,daily_routine,A1,,verb,to learn
schlafen,daily_routine,A1,,verb,to sleep
gehen,daily_routine,A1,,verb,to go
kommen,daily_routine,A1,,verb,to come
Haus,housing_furniture,A1,das,noun,house
Wohnung,housing_furniture,A1,die,noun,apartment
Zimmer,housing_furniture,A1,das,noun,room
Küche,housing_furniture,A1,die,noun,kitchen
Bad,housing_furniture,A1,das,noun,bathroom
Tisch,housing_furniture,A1,der,noun,table
Stuhl,housing_furniture,A1,der,noun,chair
Bett,housing_furniture,A1,das,noun,bed
Schrank,housing_furniture,A1,der,noun,wardrobe
Lampe,housing_furniture,A1,die,noun,lamp
kaufen,shopping_prices,A1,,verb,to buy
Preis,shopping_prices,A1,der,noun,price
Geld,shopping_prices,A1,das,noun,money
Euro,shopping_prices,A1,der,noun,euro
Geschäft,shopping_prices,A1,das,noun,shop
Supermarkt,shopping_prices,A1,der,noun,supermarket
Rechnung,shopping_prices,A1,die,noun,bill
billig,shopping_prices,A1,,adjective,cheap
teuer,shopping_prices,A1,,adjective,expensive
bezahlen,shopping_prices,A1,,verb,to pay
Kunst,art_painting,A1,die,noun,art
Bild,art_painting,A1,das,noun,picture
Farbe,art_painting,A1,die,noun,color
malen,art_painting,A1,,verb,to paint
zeichnen,art_painting,A1,,verb,to draw
Museum,art_painting,A1,das,noun,museum
Galerie,art_painting,A1,die,noun,gallery
Pinsel,art_painting,A1,der,noun,paintbrush
Leinwand,art_painting,A1,die,noun,canvas
Künstler,art_painting,A1,der,noun,artist
Gesundheit,health_body,A2,die,noun,health
Körper,health_body,A2,der,noun,body
Kopf,health_body,A2,der,noun,head
Hand,health_body,A2,die,noun,hand
Fuß,health_body,A2,der,noun,foot
Auge,health_body,A2,das,noun,eye
Arzt,health_body,A2,der,noun,doctor
Apotheke,health_body,A2,die,noun,pharmacy
Schmerz,health_body,A2,der,noun,pain
krank,health_body,A2,,adjective,sick
Reise,travel_transport,A2,die,noun,trip
Zug,travel_transport,A2,der,noun,train
Bus,travel_transport,A2,der,noun,bus
Auto,travel_transport,A2,das,noun,car
Flugzeug,travel_transport,A2,das,noun,airplane
Bahnhof,travel_transport,A2,der,noun,train station
Flughafen,travel_transport,A2,der,noun,airport
Fahrkarte,travel_transport,A2,die,noun,ticket
fahren,travel_transport,A2,,verb,to travel by vehicle
ankommen,travel_transport,A2,,verb,to arrive
Kleidung,clothing_appearance,A2,die,noun,clothing
Hemd,clothing_appearance,A2,das,noun,shirt
Hose,clothing_appearance,A2,die,noun,pants
Schuh,clothing_appearance,A2,der,noun,shoe
Jacke,clothing_appearance,A2,die,noun,jacket
Kleid,clothing_appearance,A2,das,noun,dress
tragen,clothing_appearance,A2,,verb,to wear
aussehen,clothing_appearance,A2,,verb,to look
schön,clothing_appearance,A2,,adjective,beautiful
groß,clothing_appearance,A2,,adjective,big
Teller,kitchen_utensils,A2,der,noun,plate
Tasse,kitchen_utensils,A2,die,noun,cup
Glas,kitchen_utensils,A2,das,noun,glass
Messer,kitchen_utensils,A2,das,noun,knife
Gabel,kitchen_utensils,A2,die,noun,fork
